"Row ID","Order ID","Order Date","Customer ID","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Price"
23,"CA-2016-137330",12/9/2016,"KB-16585","Fremont","Nebraska",68025,"Central","OFF-AP-10001492","Office Supplies","Appliances",60.34
24,"US-2017-156909",7/16/2017,"SF-20065","Philadelphia","Pennsylvania",19140,"East","FUR-CH-10002774","Furniture","Chairs",71.37
25,"CA-2015-106320",9/25/2015,"EB-13870","Orem","Utah",84057,"West","FUR-TA-10000577","Furniture","Tables",1044.63
26,"CA-2016-121755",1/16/2016,"EH-13945","Los Angeles","California",90049,"West","OFF-BI-10001634","Office Supplies","Binders",11.65
27,"CA-2016-121755",1/16/2016,"EH-13945","Los Angeles","California",90049,"West","TEC-AC-10003027","Technology","Accessories",90.57
28,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","FUR-BO-10004834","Furniture","Bookcases",3083.43
29,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10000474","Office Supplies","Binders",9.62
30,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","FUR-FU-10004848","Furniture","Furnishings",124.20
31,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-EN-10001509","Office Supplies","Envelopes",3.26
32,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10004042","Office Supplies","Art",86.30
33,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10001525","Office Supplies","Binders",6.86
34,"US-2015-150630",9/17/2015,"TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10001683","Office Supplies","Art",15.76
35,"CA-2017-107727",10/19/2017,"MA-17560","Houston","Texas",77095,"Central","OFF-PA-10000249","Office Supplies","Paper",29.47
36,"CA-2016-117590",12/8/2016,"GH-14485","Richardson","Texas",75080,"Central","TEC-PH-10004977","Technology","Phones",1097.54
37,"CA-2016-117590",12/8/2016,"GH-14485","Richardson","Texas",75080,"Central","FUR-FU-10003664","Furniture","Furnishings",190.92
38,"CA-2015-117415",12/27/2015,"SN-20710","Houston","Texas",77041,"Central","OFF-EN-10002986","Office Supplies","Envelopes",113.33
39,"CA-2015-117415",12/27/2015,"SN-20710","Houston","Texas",77041,"Central","FUR-BO-10002545","Furniture","Bookcases",532.40
40,"CA-2015-117415",12/27/2015,"SN-20710","Houston","Texas",77041,"Central","FUR-CH-10004218","Furniture","Chairs",212.06
41,"CA-2015-117415",12/27/2015,"SN-20710","Houston","Texas",77041,"Central","TEC-PH-10000486","Technology","Phones",371.17
42,"CA-2017-120999",9/10/2017,"LC-16930","Naperville","Illinois",60540,"Central","TEC-PH-10004093","Technology","Phones",147.17
43,"CA-2016-101343",7/17/2016,"RA-19885","Los Angeles","California",90049,"West","OFF-ST-10003479","Office Supplies","Storage",77.88
44,"CA-2017-139619",9/19/2017,"ES-14080","Melbourne","Florida",32935,"South","OFF-ST-10003282","Office Supplies","Storage",95.62
45,"CA-2016-118255",3/11/2016,"ON-18715","Eagan","Minnesota",55122,"Central","TEC-AC-10000171","Technology","Accessories",45.98
46,"CA-2016-118255",3/11/2016,"ON-18715","Eagan","Minnesota",55122,"Central","OFF-BI-10003291","Office Supplies","Binders",17.46
47,"CA-2014-146703",10/20/2014,"PO-18865","Westland","Michigan",48185,"Central","OFF-ST-10001713","Office Supplies","Storage",211.96
48,"CA-2016-169194",6/20/2016,"LH-16900","Dover","Delaware",19901,"East","TEC-AC-10002167","Technology","Accessories",45.00
49,"CA-2016-169194",6/20/2016,"LH-16900","Dover","Delaware",19901,"East","TEC-PH-10003988","Technology","Phones",21.80
50,"CA-2015-115742",4/18/2015,"DP-13000","New Albany","Indiana",47150,"Central","OFF-BI-10004410","Office Supplies","Binders",38.22
51,"CA-2015-115742",4/18/2015,"DP-13000","New Albany","Indiana",47150,"Central","OFF-LA-10002762","Office Supplies","Labels",75.18
52,"CA-2015-115742",4/18/2015,"DP-13000","New Albany","Indiana",47150,"Central","FUR-FU-10001706","Furniture","Furnishings",6.16
53,"CA-2015-115742",4/18/2015,"DP-13000","New Albany","Indiana",47150,"Central","FUR-CH-10003061","Furniture","Chairs",89.99
54,"CA-2016-105816",12/11/2016,"JM-15265","New York City","New York",10024,"East","OFF-FA-10000304","Office Supplies","Fasteners",15.26
55,"CA-2016-105816",12/11/2016,"JM-15265","New York City","New York",10024,"East","TEC-PH-10002447","Technology","Phones",1029.95
56,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","OFF-ST-10000604","Office Supplies","Storage",208.56
57,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","OFF-PA-10001569","Office Supplies","Paper",32.40
58,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","FUR-CH-10003968","Furniture","Chairs",319.41
59,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","OFF-PA-10000587","Office Supplies","Paper",14.56
60,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","TEC-AC-10002167","Technology","Accessories",30.00
61,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","OFF-BI-10001460","Office Supplies","Binders",48.48
62,"CA-2016-111682",6/17/2016,"TB-21055","Troy","New York",12180,"East","OFF-AR-10001868","Office Supplies","Art",1.68
63,"CA-2015-135545",11/24/2015,"KM-16720","Los Angeles","California",90004,"West","TEC-AC-10004633","Technology","Accessories",13.98
64,"CA-2015-135545",11/24/2015,"KM-16720","Los Angeles","California",90004,"West","OFF-BI-10001078","Office Supplies","Binders",25.82
65,"CA-2015-135545",11/24/2015,"KM-16720","Los Angeles","California",90004,"West","OFF-PA-10003892","Office Supplies","Paper",146.73
66,"CA-2015-135545",11/24/2015,"KM-16720","Los Angeles","California",90004,"West","FUR-FU-10000397","Furniture","Furnishings",79.76
67,"US-2015-164175",4/30/2015,"PS-18970","Chicago","Illinois",60610,"Central","FUR-CH-10001146","Furniture","Chairs",213.12
68,"CA-2014-106376",12/5/2014,"BS-11590","Gilbert","Arizona",85234,"West","OFF-AR-10002671","Office Supplies","Art",1113.02
69,"CA-2014-106376",12/5/2014,"BS-11590","Gilbert","Arizona",85234,"West","TEC-PH-10002726","Technology","Phones",167.97
70,"CA-2016-119823",6/4/2016,"KD-16270","Springfield","Virginia",22153,"South","OFF-PA-10000482","Office Supplies","Paper",75.88
71,"CA-2016-106075",9/18/2016,"HM-14980","New York City","New York",10009,"East","OFF-BI-10004654","Office Supplies","Binders",4.62
72,"CA-2017-114440",9/14/2017,"TB-21520","Jackson","Michigan",49201,"Central","OFF-PA-10004675","Office Supplies","Paper",19.05
73,"US-2015-134026",4/26/2015,"JE-15745","Memphis","Tennessee",38109,"South","FUR-CH-10000513","Furniture","Chairs",831.94
74,"US-2015-134026",4/26/2015,"JE-15745","Memphis","Tennessee",38109,"South","FUR-FU-10003708","Furniture","Furnishings",97.04
75,"US-2015-134026",4/26/2015,"JE-15745","Memphis","Tennessee",38109,"South","OFF-ST-10004123","Office Supplies","Storage",72.78
76,"US-2017-118038",12/9/2017,"KB-16600","Houston","Texas",77041,"Central","OFF-BI-10004182","Office Supplies","Binders",1.25
77,"US-2017-118038",12/9/2017,"KB-16600","Houston","Texas",77041,"Central","FUR-FU-10000260","Furniture","Furnishings",9.71
78,"US-2017-118038",12/9/2017,"KB-16600","Houston","Texas",77041,"Central","OFF-ST-10000615","Office Supplies","Storage",27.24
79,"US-2014-147606",11/26/2014,"JE-15745","Houston","Texas",77070,"Central","FUR-FU-10003194","Furniture","Furnishings",19.30
80,"CA-2016-127208",6/12/2016,"SC-20770","Decatur","Alabama",35601,"South","OFF-AP-10002118","Office Supplies","Appliances",208.16
81,"CA-2016-127208",6/12/2016,"SC-20770","Decatur","Alabama",35601,"South","OFF-BI-10002309","Office Supplies","Binders",16.74
82,"CA-2014-139451",10/12/2014,"DN-13690","San Francisco","California",94122,"West","OFF-AR-10002053","Office Supplies","Art",14.90
83,"CA-2014-139451",10/12/2014,"DN-13690","San Francisco","California",94122,"West","OFF-ST-10002370","Office Supplies","Storage",21.39
84,"CA-2015-149734",9/3/2015,"JC-16105","Durham","North Carolina",27707,"South","OFF-EN-10000927","Office Supplies","Envelopes",200.98
85,"US-2017-119662",11/13/2017,"CS-12400","Chicago","Illinois",60623,"Central","OFF-ST-10003656","Office Supplies","Storage",230.38
86,"CA-2017-140088",5/28/2017,"PO-18865","Columbia","South Carolina",29203,"South","FUR-CH-10000863","Furniture","Chairs",301.96
87,"CA-2017-155558",10/26/2017,"PG-18895","Rochester","Minnesota",55901,"Central","TEC-AC-10001998","Technology","Accessories",19.99
88,"CA-2017-155558",10/26/2017,"PG-18895","Rochester","Minnesota",55901,"Central","OFF-LA-10000134","Office Supplies","Labels",6.16
89,"CA-2016-159695",4/5/2016,"GM-14455","Houston","Texas",77095,"Central","OFF-ST-10003442","Office Supplies","Storage",158.37
90,"CA-2016-109806",9/17/2016,"JS-15685","Los Angeles","California",90036,"West","OFF-AR-10004930","Office Supplies","Art",20.10
91,"CA-2016-109806",9/17/2016,"JS-15685","Los Angeles","California",90036,"West","TEC-PH-10004093","Technology","Phones",73.58
92,"CA-2016-109806",9/17/2016,"JS-15685","Los Angeles","California",90036,"West","OFF-PA-10000304","Office Supplies","Paper",6.48
93,"CA-2015-149587",1/31/2015,"KB-16315","Minneapolis","Minnesota",55407,"Central","OFF-PA-10003177","Office Supplies","Paper",12.96
94,"CA-2015-149587",1/31/2015,"KB-16315","Minneapolis","Minnesota",55407,"Central","FUR-FU-10003799","Furniture","Furnishings",53.34
95,"CA-2015-149587",1/31/2015,"KB-16315","Minneapolis","Minnesota",55407,"Central","OFF-BI-10002852","Office Supplies","Binders",32.96
96,"US-2017-109484",11/6/2017,"RB-19705","Portland","Oregon",97206,"West","OFF-BI-10004738","Office Supplies","Binders",5.68
97,"CA-2017-161018",11/9/2017,"PN-18775","New York City","New York",10009,"East","FUR-FU-10000629","Furniture","Furnishings",96.53
98,"CA-2017-157833",6/17/2017,"KD-16345","San Francisco","California",94122,"West","OFF-BI-10001721","Office Supplies","Binders",51.31
99,"CA-2016-149223",9/6/2016,"ER-13855","Saint Paul","Minnesota",55106,"Central","OFF-AP-10000358","Office Supplies","Appliances",77.88
100,"CA-2016-158568",8/29/2016,"RB-19465","Chicago","Illinois",60610,"Central","OFF-PA-10003256","Office Supplies","Paper",64.62
101,"CA-2016-158568",8/29/2016,"RB-19465","Chicago","Illinois",60610,"Central","TEC-AC-10001767","Technology","Accessories",95.98
102,"CA-2016-158568",8/29/2016,"RB-19465","Chicago","Illinois",60610,"Central","OFF-BI-10002609","Office Supplies","Binders",1.79
103,"CA-2016-129903",12/1/2016,"GZ-14470","Rochester","Minnesota",55901,"Central","OFF-PA-10004040","Office Supplies","Paper",23.92
104,"US-2015-156867",11/13/2015,"LC-16870","Aurora","Colorado",80013,"West","TEC-AC-10001552","Technology","Accessories",238.90
105,"US-2015-156867",11/13/2015,"LC-16870","Aurora","Colorado",80013,"West","FUR-FU-10004006","Furniture","Furnishings",102.36
106,"US-2015-156867",11/13/2015,"LC-16870","Aurora","Colorado",80013,"West","OFF-BI-10002794","Office Supplies","Binders",36.88
107,"CA-2017-119004",11/23/2017,"JM-15250","Charlotte","North Carolina",28205,"South","TEC-AC-10003499","Technology","Accessories",74.11
108,"CA-2017-119004",11/23/2017,"JM-15250","Charlotte","North Carolina",28205,"South","TEC-PH-10002844","Technology","Phones",27.99
109,"CA-2017-119004",11/23/2017,"JM-15250","Charlotte","North Carolina",28205,"South","OFF-AR-10000390","Office Supplies","Art",3.30
110,"CA-2015-129476",10/15/2015,"PA-19060","Orland Park","Illinois",60462,"Central","TEC-AC-10000844","Technology","Accessories",339.96
111,"CA-2017-146780",12/25/2017,"CV-12805","New York City","New York",10035,"East","FUR-FU-10001934","Furniture","Furnishings",41.96
112,"CA-2016-128867",11/3/2016,"CL-12565","Urbandale","Iowa",50322,"Central","OFF-AR-10000380","Office Supplies","Art",75.96
113,"CA-2016-128867",11/3/2016,"CL-12565","Urbandale","Iowa",50322,"Central","OFF-BI-10003981","Office Supplies","Binders",27.24
114,"CA-2014-115259",8/25/2014,"RC-19960","Columbus","Ohio",43229,"East","OFF-FA-10000621","Office Supplies","Fasteners",40.10
115,"CA-2014-115259",8/25/2014,"RC-19960","Columbus","Ohio",43229,"East","OFF-EN-10002600","Office Supplies","Envelopes",4.72
116,"CA-2014-115259",8/25/2014,"RC-19960","Columbus","Ohio",43229,"East","OFF-PA-10004965","Office Supplies","Paper",23.98
117,"CA-2014-115259",8/25/2014,"RC-19960","Columbus","Ohio",43229,"East","OFF-EN-10002504","Office Supplies","Envelopes",130.46
118,"CA-2015-110457",3/2/2015,"DK-13090","Seattle","Washington",98103,"West","FUR-TA-10001768","Furniture","Tables",787.53
119,"US-2015-136476",4/5/2015,"GG-14650","Bristol","Tennessee",37620,"South","OFF-BI-10003650","Office Supplies","Binders",157.79
120,"CA-2016-103730",6/12/2016,"SC-20725","Wilmington","Delaware",19805,"East","FUR-FU-10002157","Furniture","Furnishings",47.04
121,"CA-2016-103730",6/12/2016,"SC-20725","Wilmington","Delaware",19805,"East","OFF-BI-10003910","Office Supplies","Binders",30.84
122,"CA-2016-103730",6/12/2016,"SC-20725","Wilmington","Delaware",19805,"East","OFF-ST-10000777","Office Supplies","Storage",226.56
123,"CA-2016-103730",6/12/2016,"SC-20725","Wilmington","Delaware",19805,"East","OFF-EN-10002500","Office Supplies","Envelopes",115.02
124,"CA-2016-103730",6/12/2016,"SC-20725","Wilmington","Delaware",19805,"East","TEC-PH-10003875","Technology","Phones",68.04
125,"US-2014-152030",12/26/2014,"AD-10180","Houston","Texas",77041,"Central","FUR-CH-10004063","Furniture","Chairs",600.56
126,"US-2014-134614",9/20/2014,"PF-19165","Bloomington","Illinois",61701,"Central","FUR-TA-10004534","Furniture","Tables",617.70
127,"US-2017-107272",11/5/2017,"TS-21610","Phoenix","Arizona",85023,"West","OFF-BI-10003274","Office Supplies","Binders",2.39
128,"US-2017-107272",11/5/2017,"TS-21610","Phoenix","Arizona",85023,"West","OFF-ST-10002974","Office Supplies","Storage",243.99
129,"US-2016-125969",11/6/2016,"LS-16975","Los Angeles","California",90004,"West","FUR-CH-10001146","Furniture","Chairs",81.42
130,"US-2016-125969",11/6/2016,"LS-16975","Los Angeles","California",90004,"West","FUR-FU-10003773","Furniture","Furnishings",238.56
131,"US-2017-164147",2/2/2017,"DW-13585","Columbus","Ohio",43229,"East","TEC-PH-10002293","Technology","Phones",59.97
132,"US-2017-164147",2/2/2017,"DW-13585","Columbus","Ohio",43229,"East","OFF-PA-10002377","Office Supplies","Paper",78.30
133,"US-2017-164147",2/2/2017,"DW-13585","Columbus","Ohio",43229,"East","OFF-FA-10002780","Office Supplies","Fasteners",21.46
134,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","OFF-PA-10001804","Office Supplies","Paper",20.04
135,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","OFF-PA-10001736","Office Supplies","Paper",35.44
136,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","OFF-AR-10001149","Office Supplies","Art",11.52
137,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","OFF-FA-10002988","Office Supplies","Fasteners",4.02
138,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","OFF-BI-10004781","Office Supplies","Binders",76.18
139,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","OFF-SU-10001218","Office Supplies","Supplies",65.88
140,"CA-2016-145583",10/13/2016,"LC-16885","Roseville","California",95661,"West","FUR-FU-10001706","Furniture","Furnishings",43.12
141,"CA-2016-110366",9/5/2016,"JD-15895","Philadelphia","Pennsylvania",19140,"East","FUR-FU-10004848","Furniture","Furnishings",82.80
142,"CA-2017-106180",9/18/2017,"SH-19975","San Francisco","California",94122,"West","OFF-AR-10000940","Office Supplies","Art",8.82
143,"CA-2017-106180",9/18/2017,"SH-19975","San Francisco","California",94122,"West","OFF-EN-10004030","Office Supplies","Envelopes",10.86
144,"CA-2017-106180",9/18/2017,"SH-19975","San Francisco","California",94122,"West","OFF-PA-10004327","Office Supplies","Paper",143.70
145,"CA-2017-155376",12/22/2017,"SG-20080","Independence","Missouri",64055,"Central","OFF-AP-10001058","Office Supplies","Appliances",839.43
146,"CA-2015-110744",9/7/2015,"HA-14920","Pasadena","California",91104,"West","OFF-ST-10003656","Office Supplies","Storage",671.93
147,"CA-2014-110072",10/22/2014,"MG-17680","Newark","Ohio",43055,"East","FUR-FU-10000521","Furniture","Furnishings",93.89
148,"CA-2016-114489",12/5/2016,"JE-16165","Franklin","Wisconsin",53132,"Central","TEC-PH-10000215","Technology","Phones",384.45
149,"CA-2016-114489",12/5/2016,"JE-16165","Franklin","Wisconsin",53132,"Central","TEC-PH-10001448","Technology","Phones",149.97
150,"CA-2016-114489",12/5/2016,"JE-16165","Franklin","Wisconsin",53132,"Central","FUR-CH-10000454","Furniture","Chairs",1951.84
151,"CA-2016-114489",12/5/2016,"JE-16165","Franklin","Wisconsin",53132,"Central","OFF-BI-10002735","Office Supplies","Binders",171.55
152,"CA-2016-158834",3/13/2016,"TW-21025","Scottsdale","Arizona",85254,"West","OFF-AP-10000326","Office Supplies","Appliances",157.92
153,"CA-2016-158834",3/13/2016,"TW-21025","Scottsdale","Arizona",85254,"West","TEC-PH-10001254","Technology","Phones",203.18
154,"CA-2015-124919",5/31/2015,"SP-20650","San Jose","California",95123,"West","OFF-PA-10001950","Office Supplies","Paper",58.38
155,"CA-2015-124919",5/31/2015,"SP-20650","San Jose","California",95123,"West","OFF-PA-10002254","Office Supplies","Paper",105.52
156,"CA-2015-124919",5/31/2015,"SP-20650","San Jose","California",95123,"West","OFF-ST-10001590","Office Supplies","Storage",80.88
157,"CA-2015-118948",5/28/2015,"NK-18490","Seattle","Washington",98105,"West","OFF-AR-10001547","Office Supplies","Art",6.63
158,"CA-2014-104269",3/1/2014,"DB-13060","Seattle","Washington",98115,"West","FUR-CH-10004063","Furniture","Chairs",457.57
159,"CA-2016-114104",11/20/2016,"NP-18670","Edmond","Oklahoma",73034,"Central","OFF-LA-10002475","Office Supplies","Labels",14.62
160,"CA-2016-114104",11/20/2016,"NP-18670","Edmond","Oklahoma",73034,"Central","TEC-PH-10004536","Technology","Phones",944.93
161,"CA-2016-162733",5/11/2016,"TT-21070","Los Angeles","California",90045,"West","OFF-PA-10002751","Office Supplies","Paper",5.98
162,"CA-2015-119697",12/28/2015,"EM-13960","Philadelphia","Pennsylvania",19134,"East","TEC-AC-10003657","Technology","Accessories",54.38
163,"CA-2016-154508",11/16/2016,"RD-19900","Carlsbad","New Mexico",88220,"West","OFF-EN-10001990","Office Supplies","Envelopes",28.40
164,"CA-2016-113817",11/7/2016,"MJ-17740","Seattle","Washington",98115,"West","OFF-BI-10004002","Office Supplies","Binders",27.68
165,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","OFF-AR-10004441","Office Supplies","Art",9.94
166,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","TEC-MA-10000822","Technology","Machines",8159.95
167,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","OFF-ST-10000991","Office Supplies","Storage",275.93
168,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","FUR-CH-10004287","Furniture","Chairs",1740.06
169,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","OFF-AR-10002656","Office Supplies","Art",32.06
170,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","OFF-AP-10002518","Office Supplies","Appliances",177.98
171,"CA-2014-139892",9/8/2014,"BM-11140","San Antonio","Texas",78207,"Central","TEC-PH-10003931","Technology","Phones",143.98
172,"CA-2014-118962",8/5/2014,"CS-12130","Los Angeles","California",90004,"West","OFF-PA-10000659","Office Supplies","Paper",20.94
173,"CA-2014-118962",8/5/2014,"CS-12130","Los Angeles","California",90004,"West","OFF-PA-10001144","Office Supplies","Paper",110.96
174,"CA-2014-118962",8/5/2014,"CS-12130","Los Angeles","California",90004,"West","FUR-CH-10003817","Furniture","Chairs",340.14
175,"US-2014-100853",9/14/2014,"JB-15400","Chicago","Illinois",60623,"Central","OFF-AP-10000891","Office Supplies","Appliances",52.45
176,"US-2014-100853",9/14/2014,"JB-15400","Chicago","Illinois",60623,"Central","OFF-LA-10003148","Office Supplies","Labels",20.16
177,"US-2017-152366",4/21/2017,"SJ-20500","Houston","Texas",77036,"Central","OFF-AP-10002684","Office Supplies","Appliances",97.26
178,"US-2015-101511",11/21/2015,"JE-15745","Newark","Ohio",43055,"East","FUR-CH-10004698","Furniture","Chairs",396.80
179,"US-2015-101511",11/21/2015,"JE-15745","Newark","Ohio",43055,"East","OFF-SU-10002189","Office Supplies","Supplies",15.88
180,"CA-2015-137225",12/15/2015,"JK-15640","New York City","New York",10009,"East","OFF-AR-10001940","Office Supplies","Art",3.28
181,"CA-2014-166191",12/5/2014,"DK-13150","Decatur","Illinois",62521,"Central","OFF-ST-10003455","Office Supplies","Storage",24.82
182,"CA-2014-166191",12/5/2014,"DK-13150","Decatur","Illinois",62521,"Central","TEC-AC-10004659","Technology","Accessories",408.74
183,"CA-2014-158274",11/19/2014,"RM-19675","Monroe","Louisiana",71203,"South","TEC-PH-10003273","Technology","Phones",503.96
184,"CA-2014-158274",11/19/2014,"RM-19675","Monroe","Louisiana",71203,"South","TEC-PH-10004896","Technology","Phones",149.95
185,"CA-2014-158274",11/19/2014,"RM-19675","Monroe","Louisiana",71203,"South","TEC-AC-10002345","Technology","Accessories",29.00
186,"CA-2016-105018",11/28/2016,"SK-19990","Fairfield","Connecticut",6824,"East","OFF-BI-10001890","Office Supplies","Binders",7.16
187,"CA-2014-123260",8/26/2014,"FM-14290","Los Angeles","California",90032,"West","TEC-AC-10002323","Technology","Accessories",176.80
188,"CA-2016-157000",7/16/2016,"AM-10360","Grand Prairie","Texas",75051,"Central","OFF-ST-10001328","Office Supplies","Storage",37.22
189,"CA-2016-157000",7/16/2016,"AM-10360","Grand Prairie","Texas",75051,"Central","OFF-PA-10001950","Office Supplies","Paper",20.02
190,"CA-2015-102281",10/12/2015,"MP-17470","New York City","New York",10035,"East","FUR-BO-10002613","Furniture","Bookcases",899.14
191,"CA-2015-102281",10/12/2015,"MP-17470","New York City","New York",10035,"East","TEC-PH-10001552","Technology","Phones",71.76
192,"CA-2015-102281",10/12/2015,"MP-17470","New York City","New York",10035,"East","OFF-PA-10000061","Office Supplies","Paper",51.84
193,"CA-2015-102281",10/12/2015,"MP-17470","New York City","New York",10035,"East","FUR-BO-10002545","Furniture","Bookcases",626.35
194,"CA-2015-102281",10/12/2015,"MP-17470","New York City","New York",10035,"East","OFF-AR-10003514","Office Supplies","Art",19.90
195,"CA-2015-131457",10/31/2015,"MZ-17515","Redlands","California",92374,"West","OFF-EN-10001509","Office Supplies","Envelopes",14.28
196,"CA-2014-140004",3/21/2014,"CB-12025","Hamilton","Ohio",45011,"East","OFF-AR-10004685","Office Supplies","Art",7.41
197,"CA-2014-140004",3/21/2014,"CB-12025","Hamilton","Ohio",45011,"East","OFF-AR-10004027","Office Supplies","Art",6.05
198,"CA-2017-107720",11/6/2017,"VM-21685","Westfield","New Jersey",7090,"East","OFF-ST-10001414","Office Supplies","Storage",46.26
199,"US-2017-124303",7/6/2017,"FH-14365","Philadelphia","Pennsylvania",19120,"East","OFF-BI-10000343","Office Supplies","Binders",2.95
200,"US-2017-124303",7/6/2017,"FH-14365","Philadelphia","Pennsylvania",19120,"East","OFF-PA-10002749","Office Supplies","Paper",16.06
201,"CA-2017-105074",6/24/2017,"MB-17305","Akron","Ohio",44312,"East","OFF-PA-10002666","Office Supplies","Paper",21.74
202,"CA-2014-133690",8/3/2014,"BS-11755","Denver","Colorado",80219,"West","FUR-TA-10004289","Furniture","Tables",218.75
203,"CA-2014-133690",8/3/2014,"BS-11755","Denver","Colorado",80219,"West","OFF-AP-10003622","Office Supplies","Appliances",2.60
204,"US-2017-116701",12/17/2017,"LC-17140","Dallas","Texas",75220,"Central","OFF-AP-10003217","Office Supplies","Appliances",66.28
205,"CA-2017-126382",6/3/2017,"HK-14890","Franklin","Tennessee",37064,"South","FUR-FU-10002960","Furniture","Furnishings",35.17
